,supervised_loss,unsupervised_loss,classification_loss,test_accuracy
0,0.9760383352166084,-40.04424987414045,1.8327281190531455,0.23875473484848486
1,-99.86547095077484,-127.6045779058527,1.7320391370236752,0.4363916150137741
2,-127.01588108195907,-151.39956270351792,2.7715000716567775,0.29267820247933884
3,-139.886544201986,-166.1193542395676,1.2342754196386319,0.5211077393250689
4,-143.956219600231,-167.91282973060802,1.9151625192630461,0.41974969869146006
5,-152.6874874671137,-175.689626438726,2.0585703564277664,0.41525697314049587
6,-159.55847483797484,-184.2993641720648,1.4607699309237439,0.6739464962121212
7,-161.27592880719007,-187.8770683336307,1.4019174410528226,0.7202188791322314
8,-168.8158476241658,-191.7796848063272,2.23948081703891,0.5634631112258953
9,-167.1195859535421,-194.24776090207408,2.0178576719687458,0.35366627926997246
10,-170.88419095707135,-194.0873550418821,2.0579101982351693,0.281502883953168
11,-176.42658144972407,-200.81390589216898,1.6343214308407763,0.7105393422865014
12,-176.12795884400668,-203.37385841512918,0.8481240441324285,0.7639193784435262
13,-179.78883005005133,-205.3226877804838,1.3179750271744306,0.4241455750688705
14,-181.42381398790425,-206.63144803418822,1.2159187790010988,0.7436240960743802
15,-182.31725893745187,-207.94101246462833,1.3244436615742208,0.6621039944903581
16,-183.70474032360914,-208.2860812360709,0.8926539569517915,0.395209194214876
17,-187.1695089314361,-211.17100189281072,0.9150706843820685,0.7702414772727273
18,-189.2567226402079,-213.51647454931415,0.6778390517029185,0.5875247503443526
19,-188.92353431404004,-213.46584989853494,1.0767597625387768,0.6847989841597796
20,-190.22368125962527,-217.75548071694692,1.6412839909109003,0.7679117165977961
21,-194.89118414720227,-219.80954508913004,1.308823909407034,0.28500021522038566
22,-198.07084840621792,-218.25869609811468,1.8537683060037038,0.7389107696280992
23,-195.36899261662603,-222.53055728867804,1.3143381913829388,0.6923586002066117
24,-197.92049485850873,-220.59517094899437,0.537334803203293,0.7886966253443526
25,-197.94833870075078,-222.03450559758124,0.5190054606412225,0.8095730027548209
26,-199.73034677744403,-225.14835457885903,0.5225000994797849,0.8097021349862259
27,-198.86931211498973,-224.48306300988676,1.551322209712661,0.6361806990358126
28,-202.3944664399384,-225.3536563957784,0.5691626740285258,0.8150234590220385
29,-200.08864903506802,-227.8510694778394,0.7099455891008005,0.6596289600550964
30,-199.83442954312116,-225.0579979121587,0.6268482653169416,0.7781562069559228
