,supervised_loss,unsupervised_loss,classification_loss,test_accuracy
0,3.7909687933637866,-23.990681960215557,3170.5262224075977,0.882941632231405
1,-95.1375343551479,-125.19492992017304,2064.7858213552363,0.902849517906336
2,-125.61176054968237,-150.3258667311776,1792.6573861011293,0.9150740358126722
3,-142.39994932703414,-165.78217496210056,1635.4804963424024,0.9162416064049587
4,-153.64161499775412,-175.76737228769542,1527.3140256031827,0.9103929924242424
5,-159.83015788428838,-180.9020949286553,1413.011724204312,0.9242424242424242
6,-161.40236400314424,-184.80130959826084,1352.8651572125257,0.922676695936639
7,-170.65758071178774,-192.06739340717542,1289.1354538308522,0.9290687413911846
8,-168.9977950742749,-194.38883862943865,1181.2016940451745,0.9283531336088154
9,-173.55912361035357,-195.67817184714565,1120.2969504780544,0.9379681043388429
10,-175.42297936786127,-201.72244222339418,1065.1115259240246,0.9402494404269973
11,-177.35308465413243,-199.11603846477533,999.0071202836242,0.9161770402892562
12,-182.37288304511037,-205.19328762359933,1005.4334535420944,0.929983428030303
13,-183.65764229337782,-203.14354293102602,935.4490385170687,0.9454685347796143
14,-186.99938546746662,-209.45327533056115,893.2591010812372,0.9440857438016529
15,-188.1360761036961,-210.26038514374218,845.4090347471766,0.9376345127410469
16,-187.4065122481391,-211.97461601167245,847.8891922805442,0.9397275309917356
17,-189.67570364636808,-212.53217254983326,781.4340878465092,0.9465984418044077
18,-189.8478036166902,-213.13335824140043,749.5068889566222,0.9572034263085399
19,-188.22865386774896,-214.9143734800742,722.1932201296202,0.9528882575757576
20,-194.19995201408497,-217.05543149787542,694.9419834445586,0.95711733815427
21,-192.1829443359375,-216.5683488866191,642.4458325847022,0.9524147727272727
22,-195.06734144394892,-215.51172398404663,621.9855917928645,0.9535715823002755
23,-195.73906053484342,-216.90094890680646,583.9337994096509,0.9609052169421488
24,-198.42788970257956,-219.01632796685064,562.5561503785934,0.9599259641873278
25,-197.43252699082393,-220.2207348836472,508.43768813366273,0.951553891184573
26,-199.70564419035549,-220.68296237358078,493.14488096765916,0.9533133178374655
27,-200.89714085761037,-222.3240978590321,468.91250040105234,0.9627668732782368
28,-198.14943954937758,-220.90392705835112,512.9163836306468,0.9677922692837466
29,-201.33343310847664,-224.3708119098264,407.73339587076487,0.9672273157713499
30,-200.4992852043763,-227.52365034961113,410.4192011839066,0.9659844180440772
31,-203.8107861227862,-225.9228163207287,405.1353972624166,0.9674102530991735
32,-204.2365280897074,-224.60986741396925,375.5821800805313,0.9660651256887053
33,-204.1551918634497,-226.69185217510747,362.2607094616273,0.9664310003443526
34,-206.0943607826938,-227.05196893648935,427.42655233332266,0.9710151945592287
35,-204.28290233572895,-226.4333376135229,303.028503232482,0.9742919249311295
36,-207.7107341865054,-229.6398620016423,300.2912547324179,0.9691212551652892
37,-202.8644082071355,-229.53106648345258,307.7317068788501,0.9677599862258953
38,-205.6632927802554,-228.54245944483324,273.2075870283624,0.9642142303719008
39,-206.39052527833033,-230.18829748823413,279.1162858941863,0.9689706008953167
40,-204.40872134480878,-230.61250795086306,276.34852304446866,0.9672811208677686
41,-207.1746583033881,-230.5296142408931,230.47645038581237,0.9747438877410469
42,-207.1582615182238,-231.07738042451518,245.4243401686024,0.9730059831267218
43,-203.57905764726644,-231.58733897434368,250.17574010202773,0.9762181473829202
44,-209.77444827226643,-231.6378587150182,195.97523874647075,0.9715155819559228
45,-210.17053594632316,-233.10830587398834,168.73524143352157,0.9754218319559228
46,-208.78921459910805,-230.16721290760705,184.43849817922228,0.9757715650826446
47,-210.06093601610627,-234.64108069762557,325.35045126411705,0.9767185347796143
48,-208.68135048366915,-233.02167543070516,132.100155568211,0.9776116993801652
49,-212.82762881801847,-234.9286115560982,156.2735609238642,0.9749752496556475
