,supervised_loss,unsupervised_loss,classification_loss,test_accuracy
0,-5.416047115130102,-36.00317978030602,0.9040036755665617,0.7310606060606061
1,-98.94299223161576,-124.64387940046478,0.6147965444137918,0.7790332300275482
2,-119.5751789996952,-143.27655234376263,0.5252190398778269,0.8173155561294766
3,-130.15441077387064,-156.79857791461862,0.45615844240913156,0.8282971763085399
4,-141.89723164583867,-168.57143331610078,0.3953390438698645,0.8642712637741047
5,-151.33753258550436,-173.88335130311015,0.4075543823085526,0.84952328684573
6,-156.35547136686665,-180.2937710598564,0.3436120639150882,0.8581374827823692
7,-161.611446966841,-189.20550752606846,0.3284895582022853,0.8850346504820936
8,-166.69145580001924,-188.17795135588005,0.31614307333066965,0.8722075154958677
9,-170.657376616241,-193.62564042310268,0.3159634387272829,0.8858632489669421
10,-173.30488397555186,-197.88343739353044,0.2971700942883501,0.8933475378787878
11,-176.27949254844714,-196.49482063621465,0.3277752761527498,0.8861968405647382
12,-176.83166545014117,-201.88304279404193,0.29641414254597814,0.8925835055096419
13,-180.33217436553517,-203.7029945651315,0.2799373258947102,0.9055021091597796
14,-183.62129744449436,-207.2709040875797,0.2769722781876519,0.9008748708677686
15,-184.054919669212,-209.90419203582607,0.2708907253884192,0.8979586346418732
16,-184.7072135684035,-208.81432055882115,0.2692959302161998,0.9079771435950413
17,-189.33656310157855,-211.84835568583478,0.2545856960304464,0.9089563963498623
18,-189.25799724477028,-211.9033407687627,0.3001558026347072,0.9099087465564738
19,-192.53513497417222,-216.45107420976464,0.2610585512713485,0.8820161845730027
20,-191.80627105524897,-215.58392161541894,0.24809094818710548,0.9168280819559228
21,-195.28787626732546,-217.30944424310994,0.24235449346428778,0.9148480544077136
22,-195.01650444767068,-219.44933012713733,0.2523223164145217,0.9166451446280992
23,-196.8380850351322,-221.5061507859624,0.23916275098828074,0.8999171401515151
24,-195.76323984134368,-220.27311145995066,0.24634123745395417,0.9139656508264462
25,-196.2234139983316,-221.50939403376907,0.22974977732194277,0.9197766012396694
26,-199.3524814713809,-224.1369159002801,0.23038964132508702,0.918011794077135
27,-201.8019890793442,-222.49266308046097,0.2389153068902801,0.9209925964187329
28,-200.7273087982867,-224.0330197550072,0.22447658301868478,0.9183669077134986
29,-201.86456205082135,-225.813971411923,0.21929280631596057,0.921234719352617
30,-199.88349057928002,-226.0313453328989,0.21934266748369596,0.9194860537190083
31,-201.55328810799537,-225.0545226907155,0.21727654028232582,0.9266636535812671
32,-204.05611520630134,-227.96327422777975,0.21381167356972822,0.9174360795454546
33,-204.75292008229596,-225.8765335644491,0.21711386843138897,0.9245491132920111
34,-203.58412003096123,-228.49600684655672,0.2147803906983174,0.9110547951101928
35,-209.056457544597,-229.19385506812674,0.21589762709224003,0.9270779528236914
36,-204.43043083049923,-230.1934436126442,0.22965410929685745,0.9112323519283746
37,-207.83625595562756,-229.07859434969862,0.2129455040808331,0.9183400051652892
38,-206.03757682157982,-230.5907183878757,0.20791288601054791,0.9284392217630854
39,-206.52809656538759,-230.78289169521824,0.20967240875996113,0.9224130509641874
40,-207.17082328028746,-231.1073800309146,0.20076876824396592,0.920723570936639
41,-209.43962984872306,-232.62028787461762,0.2042685145470151,0.9298919593663912
42,-210.58812780736653,-232.38670977096018,0.19800514411142964,0.9243231318870523
43,-207.18455019972407,-231.19299361545814,0.19627760015718745,0.9260341339531681
44,-209.49087507619996,-234.604514698765,0.1991680170721097,0.9272770316804408
45,-210.67476436168505,-232.3431694195152,0.1952472737878255,0.9299565254820936
46,-211.9664213295688,-233.81758857642112,0.19481406270600932,0.9120286673553719
47,-211.23022081943017,-235.63754854598116,0.19593699931119257,0.9186305526859504
48,-210.7498822510267,-237.7366407457658,0.19647453517639663,0.9193031163911846
49,-212.50771147491017,-232.89863730778333,0.19184771986223098,0.9312532283057852
